Manufacturer,Location,Address,City,Registration Link,Phone
Moderna,Walgreens,"1745 E Southern Ave, Tempe, AZ 85282",Tempe,Check appointments,
Moderna,Walgreens,"1825 E Warner Rd, Tempe, AZ 85284",Tempe,Check appointments,
Moderna,Walgreens,"2000 S Mill Ave, Tempe, AZ 85282",Tempe,Check appointments,
Moderna,Walgreens,"6404 S McClintock Dr, Tempe, AZ 85283",Tempe,Check appointments,
Moderna,Walgreens,"925 W Baseline Rd, Tempe, AZ 85283",Tempe,Check appointments,
Moderna,Walgreens #12739,"15450 N Tatum Blvd, Phoenix, AZ 85032",Phoenix,Check appointments,
Moderna,Walgreens #3003,"6690 W Union Hills Dr, Glendale, AZ 85308",Glendale,Check appointments,
Moderna,Walgreens #3132,"2415 E Union Hills Dr, Phoenix, AZ 85050",Phoenix,Check appointments,
Moderna,Walgreens #3766,"34406 N Scottsdale Rd, Scottsdale, AZ 85266",Scottsdale,Check appointments,
Moderna,Walgreens #3912,"29660 N Tatum Blvd, Cave Creek, AZ 85331",Cave Creek,Check appointments,
Moderna,Walgreens #5353,"20266 N Lake Pleasant Rd, Peoria, AZ 85382",Peoria,Check appointments,
Moderna,Walgreens #5453,"6565 E Greenway Pkwy, Scottsdale, AZ 85254",Scottsdale,Check appointments,
Moderna,Walgreens #5937,"4315 W McDowell Rd, Phoenix, AZ 85035",Phoenix,Check appointments,
Moderna,Walgreens #7110,"6640 W Happy Valley Rd, Glendale, AZ 85310",Glendale,Check appointments,
Moderna,Walgreens #7933,"15514 W Waddell Rd, Surprise, AZ 85379",Surprise,Check appointments,
Moderna,Wee Care Pediatrics,"2017 E Adobe St, Mesa, AZ 85213",Mesa,Check appointments,480-244-5373
Moderna,"Westside Internal Medicine, PC","13921 W Grand Ave, Surprise, AZ 85374",Surprise,,623-214-2200
Moderna,"Westside Internal Medicine, PC","W Grand Ave, Surprise, AZ 85374",Surprise,,623-214-2200
Moderna,Westview Family Medicine,"8811 N 51ST AVE, Glendale, AZ 85302",Glendale,,(623) 536-6788
Moderna,"Westview Family Medicine, PC","13065 W McDowell Rd, Avondale, AZ 85395",Avondale,Walk-In,
Moderna,"Westview Family Medicine, PC","13065 W McDowell Rd, Avondale, AZ 85392",Avondale,Check appointments,623-539-6788
Moderna,"Westview Family Medicine, PC","13065 W McDowell Rd, Avondale, AZ 85392",Avondale,Check appointments,623-536-6788
Moderna,Wickenburg Community Hospital,"522 W Rose Ln, Wickenburg, AZ 85390",Wickenburg,Check appointments,928-615-3570
"J_J,Moderna,​​​​Pfizer_BioNTech",Albertsons #2985,"18411 N Cave Creek Rd, Phoenix, AZ 85032",Phoenix,Check appointments,
"J_J,Moderna,​​​​Pfizer_BioNTech",Safeway Pharmacy #2054,"13503 W Camino Del Sol, Sun City West, AZ 85375",Sun City West,Check appointments,623-584-0501
"J_J,Moderna",Adelante Healthcare Surprise,"15351 W Bell Rd, Surprise, AZ 85374",Surprise,,877-809-5092
"J_J,Moderna",Bethany Home Discount Pharmacy,"6601 W Bethany Home Rd, Glendale, AZ 85301",Glendale,,623-440-7717
"J_J,Moderna",Costco Pharmacy - Surprise,"17399 W Carmen Dr, Surprise, AZ 85388",Surprise,Check appointments,
"J_J,Moderna",Fry's Pharmacy,"1950 W Ray Rd, Chandler, AZ 85224",Chandler,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"1455 N Higley Rd, Gilbert, AZ 85234",Gilbert,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"2021 E Williams Field Rd, Gilbert, AZ 85295",Gilbert,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"3261 E Pecos Rd, Gilbert, AZ 85295",Gilbert,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"714 S Val Vista Dr, Gilbert, AZ 85296",Gilbert,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"87 E Williams Field Rd, Gilbert, AZ 85295",Gilbert,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"1245 W Main St, Mesa, AZ 85201",Mesa,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"1929 S Power Rd, Mesa, AZ 85206",Mesa,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"2727 E Broadway Rd, Mesa, AZ 85204",Mesa,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"435 S Ellsworth Rd, Mesa, AZ 85208",Mesa,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"554 W Baseline Rd, Mesa, AZ 85210",Mesa,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"5941 E McKellips Rd, Mesa, AZ 85215",Mesa,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"9245 W Union Hills Dr, Peoria, AZ 85382",Peoria,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"1919 E Camelback Rd, Phoenix, AZ 85016",Phoenix,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"2626 S 83rd Ave, Phoenix, AZ 85043",Phoenix,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"3242 E Bell Rd, Phoenix, AZ 85032",Phoenix,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"39508 N Daisy Mountain Dr, Phoenix, AZ 85086",Phoenix,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"4025 E Thunderbird Rd, Phoenix, AZ 85032",Phoenix,Check appointments,1-866-211-5320
"J_J,Moderna",Fry's Pharmacy,"7628 E Indian School Rd, Scottsdale, AZ 85251",Scottsdale,Check appointments,1-866-211-5320
"J_J,Moderna",Metier Pharmacy,"4214 E Indian School Rd, Phoenix, AZ 85018",Phoenix,,602-899-6960
"J_J,Moderna",Noah Desert Mission Community Health Center,"9201 N 5th St, Phoenix, AZ 85020",Phoenix,,480-882-4545
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Avondale,"10000 W McDowell Rd, Avondale, AZ 85392",Avondale,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Cave Creek,"2450 E Beardsley Rd, Phoenix, AZ 85050",Phoenix,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Chandler,"595 S Galleria Way, Chandler, AZ 85226",Chandler,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Gilbert,"1415 N Arizona Ave, Gilbert, AZ 85233",Gilbert,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Mesa,"1444 S Sossaman Rd, Mesa, AZ 85209",Mesa,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - North Phoenix,"19001 N 27th Ave, Phoenix, AZ 85027",Phoenix,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Scottsdale,"15255 N Hayden Rd, Scottsdale, AZ 85260",Scottsdale,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - SE Gilbert,"2887 S Market St, Gilbert, AZ 85295",Gilbert,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Tempe,"1445 W Elliot Rd, Tempe, AZ 85284",Tempe,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy - Thomas Road,"4502 E Oak St, Phoenix, AZ 85008",Phoenix,Check appointments,
"J_J,​​​​Moderna, Pfizer_BioNTech",Costco Pharmacy-Glendale,"17550 N 79th Ave, Glendale, AZ 85308",Glendale,Check appointments,
"J_J,​​​ Pfizer_BioNTech",Mountain Park Health Center - Gateway Clinic,"3830 E Van Buren St, Phoenix, AZ 85008",Phoenix,Check appointments,602-243-7277
"J_J,​​​ Pfizer_BioNTech",Mountain Park Health Center - Goodyear Clinic,"140 N Litchfield Rd, Goodyear, AZ 85338",Goodyear,Check appointments,602-243-7277
"J_J,​​​ Pfizer_BioNTech",Mountain Park Health Center - Tempe Clinic,"1821 S McClintock Dr, Tempe, AZ 85281",Tempe,Check appointments,602-243-7277
J_J,911 Drug Testing,"7802 N 43rd Ave, Glendale, AZ 85301",Glendale,,602-962-6355
J_J,Fry's Pharmacy,"100 E Jefferson St, Phoenix, AZ 85004",Phoenix,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"1575 N Dysart Rd, Avondale, AZ 85392",Avondale,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"1300 S Watson Rd, Buckeye, AZ 85326",Buckeye,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"6486 S Higley Rd, Gilbert, AZ 85298",Gilbert,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"6451 W Bell Rd, Glendale, AZ 85308",Glendale,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"13726 W Camelback Rd, Litchfield Park, AZ 85340",Litchfield Park,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"1935 N Stapley Dr, Mesa, AZ 85203",Mesa,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"2724 S Signal Butte Rd, Mesa, AZ 85209",Mesa,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"1311 E Bell Rd, Phoenix, AZ 85022",Phoenix,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"2727 W Bell Rd, Phoenix, AZ 85053",Phoenix,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"3255 S Rural Rd, Tempe, AZ 85282",Tempe,Check appointments,1-866-211-5320
J_J,The Little Clinic-Fry's,"9900 S Rural Rd, Tempe, AZ 85284",Tempe,Check appointments,1-866-211-5320
"​​​​Pfizer_BioNTech,Moderna",Safeway #129,"13779 N Fountain Hills Blvd, Fountain Hills, AZ 85268",Fountain Hills,Check appointments,
"​​​​Pfizer_BioNTech,Moderna",Safeway #2044,"260 W Continental Rd, Green Valley, AZ 85622",Green Valley,Check appointments,
"​​​​Pfizer_BioNTech,Moderna",Safeway #2699,"28451 N Vistancia Blvd, Peoria, AZ 85383",Peoria,Check appointments,
"​​​​Pfizer_BioNTech, J_J",Mountain Park Health Center - Christown Clinic,"5517 N 17th Ave, Phoenix, AZ 85015",Phoenix,Check appointments,602-243-7277
​​​​Pfizer_BioNTech,Albertsons #2952,"8035 N 19th Ave, Phoenix, AZ 85021",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Banner Health @ AZ State Fairgrounds,"1710 W McDowell Rd, Phoenix, AZ 85007",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Banner Health @ Sun City West,"14512 W Shumway Dr, Sun City West, AZ 85375",Sun City West,Check appointments,
​​​​Pfizer_BioNTech,CVS Pharmacy #5029,"9230 E Broadway Rd, Mesa, AZ 85208",Mesa,Check appointments,480-986-3004
​​​​Pfizer_BioNTech,CVS Pharmacy #5477,"4890 N Litchfield Rd, Litchfield Park, AZ 85340",Litchfield Park,Check appointments,623-547-4799
​​​​Pfizer_BioNTech,CVS Pharmacy #5892,"5050 W Baseline Rd, Laveen, AZ 85339",Laveen,Check appointments,602-237-8681
​​​​Pfizer_BioNTech,CVS Pharmacy #9347,"1525 N Central Ave, Phoenix, AZ 85004",Phoenix,Check appointments,602-256-2124
​​​​Pfizer_BioNTech,CVS/Pharmacy #04795,"6015 E Brown Rd, Mesa, AZ 85205",Mesa,Check appointments,1-888-300-4419
​​​​Pfizer_BioNTech,CVS/Pharmacy #07263,"10707 W Camelback Rd, Phoenix, AZ 85037",Phoenix,Check appointments,888-300-4419
​​​​Pfizer_BioNTech,Fry's Pharmacy,"10675 W Indian School Rd, Avondale, AZ 85392",Avondale,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"981 W Elliot Rd, Chandler, AZ 85225",Chandler,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"4353 W Bethany Home Rd, Glendale, AZ 85301",Glendale,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"5116 W Olive Ave, Glendale, AZ 85302",Glendale,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"6710 W Bethany Home Rd, Glendale, AZ 85303",Glendale,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"18420 N 19th Ave, Phoenix, AZ 85023",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"3421 W Thunderbird Rd, Phoenix, AZ 85053",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"3511 W Peoria Ave, Phoenix, AZ 85029",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"3949 E Chandler Blvd, Phoenix, AZ 85048",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"4204 W Cactus Rd, Phoenix, AZ 85029",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"520 E Baseline Rd, Phoenix, AZ 85042",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"6601 W Indian School Rd, Phoenix, AZ 85033",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"8326 W Indian School Rd, Phoenix, AZ 85037",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"862 E Hatcher Rd, Phoenix, AZ 85020",Phoenix,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"1835 E Guadalupe Rd, Tempe, AZ 85283",Tempe,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"2700 W Baseline Rd, Tempe, AZ 85283",Tempe,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"3232 S Mill Ave, Tempe, AZ 85282",Tempe,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,Fry's Pharmacy,"5100 S McClintock Dr, Tempe, AZ 85282",Tempe,Check appointments,1-866-211-5320
​​​​Pfizer_BioNTech,NATIVE HEALTH,"4041 N Central Ave, Phoenix, AZ 85012",Phoenix,Check appointments,602-266-6505
​​​​Pfizer_BioNTech,NATIVE HEALTH Mesa,"777 W Southern Ave, Mesa, AZ 85210",Mesa,Check appointments,602- 266-6505
​​​​Pfizer_BioNTech,Safeway #0752,"4747 E Elliot Rd, Phoenix, AZ 85044",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Safeway #1515,"810 E Glendale Ave, Phoenix, AZ 85020",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Safeway #1997,"17049 W Bell Rd, Surprise, AZ 85388",Surprise,Check appointments,
​​​​Pfizer_BioNTech,Safeway #2821,"3800 W Happy Valley Rd, Glendale, AZ 85310",Glendale,Check appointments,
​​​​Pfizer_BioNTech,State of Arizona POD at ASU Desert Financial Arena,"600 E Veterans Wy, Tempe, AZ 85281",Tempe,Check appointments,602-542-1000
​​​​Pfizer_BioNTech,State of Arizona POD at Dexcom in Southeast Mesa,"8046 E Ray Rd, Mesa, AZ 85212",Mesa,Check appointments,1-844-542-8201
​​​​Pfizer_BioNTech,State of Arizona POD at Gila River Arena,"9400 W Maryland Ave, Glendale, AZ 85305",Glendale,Check appointments,1-844-542-8201
​​​​Pfizer_BioNTech,State of Arizona POD at WestWorld of Scottsdale,"16601 N Pima Rd, Scottsdale, AZ 85260",Scottsdale,Check appointments,
​​​​Pfizer_BioNTech,Walgreens # 2851,"7000 N 16th St, Phoenix, AZ 85020",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Walgreens # 4139,"3450 W Dunlap Ave, Phoenix, AZ 85051",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #12386,"9800 S Estrella Pkwy, Goodyear, AZ 85338",Goodyear,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #3593,"2610 W Thunderbird Rd, Phoenix, AZ 85023",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #4228,"5125 W Northern Ave, Glendale, AZ 85301",Glendale,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #4909,"2921 N 83rd Ave, Phoenix, AZ 85033",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #5504,"4249 W Glendale Ave, Phoenix, AZ 85051",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #6063,"1825 W Bethany Home Rd, Phoenix, AZ 85015",Phoenix,Check appointments,
​​​​Pfizer_BioNTech,Walgreens #9057,"18433 N 19th Ave, Phoenix, AZ 85023",Phoenix,Check appointments,
